tender_id,source,title,department,budget,national_id_format,cross_source_overlap,other_sources,announcement_url
68069452018,PEA,ประกวดราคาซื้อการจัดซื้อวัสดุก่อสร้าง งานก่อสร้างสายส่งระบบ 115 เควี ให้ บริษัท ,,4220017.34,True,False,,https://bidding.pea.co.th/procurement/e8003182-604b-4306-a5bb-beb5f3b8cfbc
67069045279,PEA,จัดซื้อชุดเชื่อมสายแรงสูง (31 รายการ) จำนวน 7 ชุด,,2996000.0,True,False,,https://bidding.pea.co.th/procurement/4a0d6681-248e-4351-9ac8-be5a9db0f4d5
68069514285,PEA,จัดซื้อพัสดุขาดแคลน สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75,,1019752.8,True,False,,https://bidding.pea.co.th/procurement/308182ce-5edb-4bbf-8390-319322d4429e
68039416307,PEA,"งานจัดซื้อปั๊มน้ำขับเคลื่อนด้วยเครื่องยนต์ดีเซล ๖ สูบ ๔ จังหวะ ติดตั้งบนฐาน
จำน",,1900000.0,True,False,,https://bidding.pea.co.th/procurement/97f78002-38a8-4845-866a-d50a53136132
68069466533,PEA,ประกวดราคาซื้อผลิตภัณฑ์-วัสดุอุปกรณ์เข้างานก่อสร้างขยายเขตระบบจำหน่ายไฟฟ้า งาน บ,,,True,False,,https://bidding.pea.co.th/procurement/c59db8a3-cfb6-49f0-8ea5-da0cd795a356
68069189639,PEA,จัดซื้อชุดเครื่องมือสำหรับงานติดตั้งอุปกรณ์ในสถานีไฟฟ้า (จำนวน 4 รายการ) จำนวน 1,,3210000.0,True,False,,https://bidding.pea.co.th/procurement/887a9cc7-4a8c-470e-983e-d1543898f6e5
68059193892,PEA,ประกวดราคาซื้อPOLE 12.20 M. ตามแผนจัดหาประจำปี 2568 งบโครงการต่างๆ เลขที่ 68HAH0,,11175936.0,True,False,,https://bidding.pea.co.th/procurement/9a776c40-d166-4ff9-9f3d-7605baacaa32
68029198900,PEA,ประกวดราคาจ้างก่อสร้างอาคารสำนักงานพร้อมศูนย์บริการลูกค้า อาคารอยู่เวรแก้กระแสไฟ,,24118228.0,True,False,,https://bidding.pea.co.th/procurement/c6db9338-28d5-4397-bb9c-10187ed8fdaf
68069237015,PEA,จัดจ้างทำสายอลูมิเนียมแกนเหล็ก ขนาด 50/8 ตร.มม. จำนวน 465 กม. เลขที่ กจพ2-สฟ-018,,3134565.0,True,False,,https://bidding.pea.co.th/procurement/82a0482c-3d12-47e6-b2c8-b1d1a5a5e5f1
68039452730,PEA,ประกวดราคาซื้อเครื่องมือตรวจสอบความเที่ยงตรงของมิเตอร์ (Modular Three Phase Port,,2033000.0,True,False,,https://bidding.pea.co.th/procurement/f00f7fa9-937e-4067-ac9e-ec643985680b
69079362623,EGAT,ประกวดราคาจ้างบริการเพื่อทำงานในโครงการปรับปรุงสายส่งรองรับงานพัฒนาระบบคมนาคมภาค,รองผู้ว่าการปฏิบัติการระบบส่ง ผู้ช่วยผู้ว่าการปฏิบัติการและบริหารสินทรัพย์ระบบส่ง โครงการปรับปรุงสายส่งรองรับงานพัฒนาระบบคมนาคมภาครัฐขนาดใหญ่ รองผู้ว่าการปฏิบัติการระบบส่ง หมวดจัดซื้อจัดจ้าง,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88915
69079039138,EGAT,"ประกวดราคาเช่างานเช่ารถเก๋ง ปริมาตร 1,600 - 2,000 ซีซี ประเภทผสมหรือไฮบริด (HEV)",รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุโรงไฟฟ้าจะนะ,,True,False,,https://bidding.egat.co.th/procure/project/index.php?project_id=88917
