source,tender_id,title,title_en,department,budget,winning_bid,winner_name,winner_tax_id,method,category,announcement_date,submission_deadline,award_date,tor_url,tor_text,announcement_url,num_bidders,status,scraped_at
EGAT,EGAT-88755,จ้างเหมาปรับปรุงฐานรากเทคอนกรีตหุ้มขาเสาส่งไฟฟ้า 230 kV. และ 115 kV.จำนวน 5 สายส่ง รวม 12 ต้น,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุฝ่ายปฏิบัติการภาคกลาง,,,,,สอบราคา,,2026-07-06,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88755,,open,2026-07-10T08:22:31.115676+00:00
EGAT,EGAT-88772,งานปรับปรุงระบบ Control Station Service และ Switch yard โรงไฟฟ้าเขื่อนแม่งัดสมบูรณ์ชล,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุเขื่อนภูมิพล,,,,,สอบราคา,,2026-07-06,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88772,,open,2026-07-10T08:22:31.115693+00:00
EGAT,69069579989,ประกวดราคาซื้อพัสดุทั่วไป จำนวน 55 รายการ เลขที่ หจก3. 37/2569 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 3,,,,,E-BIDDING-พ.ร.บ.,,2026-07-06,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88790,,open,2026-07-10T08:22:31.115722+00:00
EGAT,69079115823,จ้างจัดทำเกณฑ์มาตรฐานประสิทธิภาพพลังงานบ้านและอาคารเบอร์ 5  เลขที่ หจก2. 34/2569 โดยวิธีคัดเลือก,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 2,,,,,selective,,2026-07-06,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88793,,open,2026-07-10T08:22:33.396348+00:00
EGAT,EGAT-88786,ซื้อน้ำมันหล่อลื่น (Lubricant Oil) สําหรับงานบํารุงรักษาอุปกรณ์ของโรงไฟฟ้าหงสาฯ สปป.ลาว จํานวน 1 รายการ,,รองผู้ว่าการธุรกิจเกี่ยวเนื่อง ผู้ช่วยผู้ว่าการโครงการธุรกิจ โครงการเดินเครื่องและบำรุงรักษาโรงไฟฟ้าพลังความร้อนลิกไนต์หงสา สปป.ลาว รองผู้ว่าการธุรกิจเกี่ยวเนื่อง หมวดพัสดุและจัดหา,,,,,วิธีพิเศษ,,2026-07-04,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88786,,open,2026-07-10T08:22:33.396373+00:00
EGAT,EGAT-88775,จ้างเหมางานปรับปรุงยกระดับสายส่งรองรับโครงการทางหลวงพิเศษระหว่างเมือง หมายเลข 9 สายวงแหวนกาญจนาภิเษกด้านตะวันตก (ส่วนที่ 1) เลขที่ กฟผ. หก-ปค.(จ.)2/2569,,รองผู้ว่าการปฏิบัติการระบบส่ง ผู้ช่วยผู้ว่าการปฏิบัติการและบริหารสินทรัพย์ระบบส่ง โครงการปรับปรุงสายส่งรองรับงานพัฒนาระบบคมนาคมภาครัฐขนาดใหญ่ รองผู้ว่าการปฏิบัติการระบบส่ง หมวดจัดซื้อจัดจ้าง,,,,,e-bidding,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88775,,open,2026-07-10T08:22:33.396382+00:00
EGAT,EGAT-88770,"เช่ารถตู้พร้อมพนักงานขับรถ จำนวน 2 คัน, รถเก๋ง 4 ประตู จำนวน 1 คัน 
และรถปิคอัพ 2 ประตู จำนวน 7 คัน หน่วยงาน อค-บพ.",,รองผู้ว่าการธุรกิจเกี่ยวเนื่อง ผู้ช่วยผู้ว่าการโครงการธุรกิจ โครงการเดินเครื่องและบำรุงรักษาประจำโรงไฟฟ้าบริษัท ผลิตไฟฟ้าราชบุรี จำกัด รองผู้ว่าการธุรกิจเกี่ยวเนื่อง หมวดพัสดุและจัดหา,,,,,e-bidding,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88770,,open,2026-07-10T08:22:33.396389+00:00
EGAT,EGAT-88768,"เช่ารถตู้พร้อมพนักงานขับรถ จำนวน 2 คัน, รถเก๋ง 4 ประตู จำนวน 1 คัน 
และรถปิคอัพ 2 ประตู จำนวน 7 คัน หน่วยงาน อค-บพ.",,รองผู้ว่าการธุรกิจเกี่ยวเนื่อง ผู้ช่วยผู้ว่าการโครงการธุรกิจ โครงการเดินเครื่องและบำรุงรักษาประจำโรงไฟฟ้าบริษัท ผลิตไฟฟ้าราชบุรี จำกัด รองผู้ว่าการธุรกิจเกี่ยวเนื่อง หมวดพัสดุและจัดหา,,,,,e-bidding,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88768,,open,2026-07-10T08:22:33.396396+00:00
EGAT,69069374992,ประกวดราคาจ้างก่อสร้างถมดิน SUMP B จำนวน 1 งาน (1200201061),,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างเหมืองแม่เมาะ,,,,,E-BIDDING-พ.ร.บ.,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88761,,open,2026-07-10T08:22:33.396404+00:00
EGAT,69069590824,ประกวดราคาซื้อเครื่องให้การรักษาด้วยคลื่นกระแทก (Shock wave) แบบ Radial (FP : Z326D1070103) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding) เลขที่ หจก3. 33/2569,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 3,,,,,E-BIDDING-พ.ร.บ.,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88766,,open,2026-07-10T08:22:33.396411+00:00
EGAT,69079020160,จ้างจัดงานนิทรรศการผลงานสิ่งประดิษฐ์ และ นวัตกรรม กฟผ. ในงาน &ldquo;มหกรรมวิทยาศาสตร์และเทคโนโลยีแห่งชาติ ประจำปี 2569&quot; เลขที่ หจก2. 46/2569,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุส่วนกลาง รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างสายงานกลาง 2,,,,,selective,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88777,,open,2026-07-10T08:22:33.396418+00:00
EGAT,69079051580,จ้างซ่อมโทรทัศน์วงจรปิด CCTV ประจำปี 2569 โดยวิธีเฉพาะเจาะจง,,รองผู้ว่าการบริหาร ผู้ช่วยผู้ว่าการจัดซื้อจัดจ้างและบริการ ฝ่ายจัดซื้อจัดจ้างและบริหารพัสดุภูมิภาค รองผู้ว่าการบริหาร แผนกจัดซื้อจัดจ้างและบริหารพัสดุเขื่อนรัชชประภา,,,,,specific-appointment,,2026-07-03,,,,,https://bidding.egat.co.th/procure/project/index.php?project_id=88785,,open,2026-07-10T08:22:35.958519+00:00
